match_id,date,venue,team1,team2,home_team,winner,home_team_result,home_win,away_team,team1_is_home,team2_is_home,batting_team_inn1_over6,batting_team_inn1_over10,batting_team_inn1_over15,batting_team_inn1_over20,batting_team_inn2_over6,batting_team_inn2_over10,batting_team_inn2_over15,batting_team_inn2_over20,bowling_team_inn1_over6,bowling_team_inn1_over10,bowling_team_inn1_over15,bowling_team_inn1_over20,bowling_team_inn2_over6,bowling_team_inn2_over10,bowling_team_inn2_over15,bowling_team_inn2_over20,home_is_batting_inn1_over6,home_is_batting_inn1_over10,home_is_batting_inn1_over15,home_is_batting_inn1_over20,home_is_batting_inn2_over6,home_is_batting_inn2_over10,home_is_batting_inn2_over15,home_is_batting_inn2_over20,cum_runs_inn1_over6,cum_runs_inn1_over10,cum_runs_inn1_over15,cum_runs_inn1_over20,cum_runs_inn2_over6,cum_runs_inn2_over10,cum_runs_inn2_over15,cum_runs_inn2_over20,cum_wkts_inn1_over6,cum_wkts_inn1_over10,cum_wkts_inn1_over15,cum_wkts_inn1_over20,cum_wkts_inn2_over6,cum_wkts_inn2_over10,cum_wkts_inn2_over15,cum_wkts_inn2_over20,balls_bowled_inn1_over6,balls_bowled_inn1_over10,balls_bowled_inn1_over15,balls_bowled_inn1_over20,balls_bowled_inn2_over6,balls_bowled_inn2_over10,balls_bowled_inn2_over15,balls_bowled_inn2_over20,run_rate_inn1_over6,run_rate_inn1_over10,run_rate_inn1_over15,run_rate_inn1_over20,run_rate_inn2_over6,run_rate_inn2_over10,run_rate_inn2_over15,run_rate_inn2_over20,is_chasing_inn1_over6,is_chasing_inn1_over10,is_chasing_inn1_over15,is_chasing_inn1_over20,is_chasing_inn2_over6,is_chasing_inn2_over10,is_chasing_inn2_over15,is_chasing_inn2_over20,target_first_innings_inn2_over6,target_first_innings_inn2_over10,target_first_innings_inn2_over15,target_first_innings_inn2_over20,req_runs_inn2_over6,req_runs_inn2_over10,req_runs_inn2_over15,req_runs_inn2_over20,overs_remaining_inn2_over6,overs_remaining_inn2_over10,overs_remaining_inn2_over15,overs_remaining_inn2_over20,balls_remaining_inn2_over6,balls_remaining_inn2_over10,balls_remaining_inn2_over15,balls_remaining_inn2_over20,req_run_rate_inn2_over6,req_run_rate_inn2_over10,req_run_rate_inn2_over15,req_run_rate_inn2_over20,wkts_in_hand_inn1_over6,wkts_in_hand_inn1_over10,wkts_in_hand_inn1_over15,wkts_in_hand_inn1_over20,wkts_in_hand_inn2_over6,wkts_in_hand_inn2_over10,wkts_in_hand_inn2_over15,wkts_in_hand_inn2_over20
524915,2011-12-16,"Sydney Cricket Ground, Sydney",Sydney Sixers,Brisbane Heat,Sydney Sixers,Sydney Sixers,Win,1,Brisbane Heat,1,0,Brisbane Heat,Brisbane Heat,Brisbane Heat,Brisbane Heat,Sydney Sixers,Sydney Sixers,Sydney Sixers,,Sydney Sixers,Sydney Sixers,Sydney Sixers,Sydney Sixers,Brisbane Heat,Brisbane Heat,Brisbane Heat,,False,False,False,False,True,True,True,,37.0,50.0,104.0,139.0,44.0,76.0,109.0,,0.0,3.0,5.0,8.0,1.0,1.0,1.0,,36.0,60.0,90.0,120.0,36.0,60.0,90.0,,6.166666666666667,5.0,6.933333333333334,6.95,7.333333333333333,7.6,7.266666666666667,,False,False,False,False,True,True,True,,139.0,139.0,139.0,,96.0,64.0,31.0,,14.0,10.0,5.0,,84.0,60.0,30.0,,6.857142857142857,6.4,6.2,,10.0,7.0,5.0,2.0,9.0,9.0,9.0,
524916,2011-12-17,Melbourne Cricket Ground,Melbourne Stars,Sydney Thunder,Melbourne Stars,Sydney Thunder,Loss,0,Sydney Thunder,1,0,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Stars,Sydney Thunder,Sydney Thunder,Sydney Thunder,,Sydney Thunder,Sydney Thunder,Sydney Thunder,Sydney Thunder,Melbourne Stars,Melbourne Stars,Melbourne Stars,,True,True,True,True,False,False,False,,37.0,72.0,113.0,153.0,36.0,77.0,115.0,,1.0,2.0,5.0,7.0,2.0,3.0,4.0,,36.0,60.0,90.0,120.0,36.0,60.0,90.0,,6.166666666666667,7.2,7.533333333333333,7.65,6.0,7.7,7.666666666666667,,False,False,False,False,True,True,True,,153.0,153.0,153.0,,118.0,77.0,39.0,,14.0,10.0,5.0,,84.0,60.0,30.0,,8.428571428571429,7.7,7.8,,9.0,8.0,5.0,3.0,8.0,7.0,6.0,
524917,2011-12-18,Adelaide Oval,Adelaide Strikers,Melbourne Renegades,Adelaide Strikers,Adelaide Strikers,Win,1,Melbourne Renegades,1,0,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,,True,True,True,True,False,False,False,,55.0,86.0,123.0,189.0,35.0,62.0,106.0,,0.0,1.0,2.0,5.0,2.0,3.0,5.0,,36.0,60.0,90.0,120.0,36.0,60.0,90.0,,9.166666666666666,8.6,8.2,9.45,5.833333333333333,6.2,7.066666666666666,,False,False,False,False,True,True,True,,189.0,189.0,189.0,,155.0,128.0,84.0,,14.0,10.0,5.0,,84.0,60.0,30.0,,11.071428571428571,12.8,16.8,,10.0,9.0,8.0,5.0,8.0,7.0,5.0,
524918,2011-12-18,Western Australia Cricket Association Ground,Perth Scorchers,Hobart Hurricanes,Perth Scorchers,Hobart Hurricanes,Loss,0,Hobart Hurricanes,1,0,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,False,False,False,False,True,True,True,True,34.0,66.0,107.0,140.0,21.0,44.0,72.0,109.0,1.0,2.0,4.0,10.0,3.0,4.0,7.0,10.0,36.0,60.0,90.0,120.0,36.0,60.0,90.0,120.0,5.666666666666667,6.6,7.133333333333334,7.0,3.5,4.4,4.8,5.45,False,False,False,False,True,True,True,True,140.0,140.0,140.0,140.0,120.0,97.0,69.0,32.0,14.0,10.0,5.0,0.0,84.0,60.0,30.0,0.0,8.571428571428571,9.7,13.8,inf,9.0,8.0,6.0,0.0,7.0,6.0,3.0,0.0
524919,2011-12-20,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane Heat,Melbourne Stars,Brisbane Heat,Melbourne Stars,Loss,0,Melbourne Stars,1,0,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Stars,Brisbane Heat,Brisbane Heat,Brisbane Heat,Brisbane Heat,Brisbane Heat,Brisbane Heat,Brisbane Heat,Brisbane Heat,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Stars,False,False,False,False,True,True,True,True,44.0,84.0,140.0,177.0,60.0,88.0,118.0,169.0,2.0,2.0,3.0,7.0,2.0,3.0,7.0,7.0,36.0,60.0,90.0,120.0,36.0,60.0,90.0,120.0,7.333333333333333,8.4,9.333333333333334,8.85,10.0,8.8,7.866666666666666,8.45,False,False,False,False,True,True,True,True,177.0,177.0,177.0,177.0,118.0,90.0,60.0,9.0,14.0,10.0,5.0,0.0,84.0,60.0,30.0,0.0,8.428571428571429,9.0,12.0,inf,8.0,8.0,7.0,3.0,8.0,7.0,3.0,3.0
524920,2011-12-21,"Bellerive Oval, Hobart",Hobart Hurricanes,Sydney Sixers,Hobart Hurricanes,Hobart Hurricanes,Win,1,Sydney Sixers,1,0,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,Sydney Sixers,Sydney Sixers,Sydney Sixers,Sydney Sixers,Sydney Sixers,Sydney Sixers,Sydney Sixers,Sydney Sixers,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,True,True,True,True,False,False,False,False,37.0,63.0,111.0,169.0,41.0,64.0,94.0,127.0,1.0,1.0,1.0,3.0,2.0,2.0,6.0,9.0,36.0,60.0,90.0,120.0,36.0,60.0,90.0,120.0,6.166666666666667,6.3,7.4,8.45,6.833333333333333,6.4,6.266666666666667,6.35,False,False,False,False,True,True,True,True,169.0,169.0,169.0,169.0,129.0,106.0,76.0,43.0,14.0,10.0,5.0,0.0,84.0,60.0,30.0,0.0,9.214285714285714,10.6,15.2,inf,9.0,9.0,9.0,7.0,8.0,8.0,4.0,1.0
524921,2011-12-22,"Docklands Stadium, Melbourne",Melbourne Renegades,Perth Scorchers,Melbourne Renegades,Perth Scorchers,Loss,0,Perth Scorchers,1,0,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,True,True,True,True,False,False,False,False,53.0,89.0,140.0,188.0,50.0,96.0,149.0,192.0,0.0,0.0,2.0,3.0,0.0,1.0,1.0,2.0,36.0,60.0,90.0,120.0,36.0,60.0,90.0,120.0,8.833333333333334,8.9,9.333333333333334,9.4,8.333333333333334,9.6,9.933333333333334,9.6,False,False,False,False,True,True,True,True,188.0,188.0,188.0,188.0,139.0,93.0,40.0,0.0,14.0,10.0,5.0,0.0,84.0,60.0,30.0,0.0,9.928571428571429,9.3,8.0,0.0,10.0,10.0,8.0,7.0,10.0,9.0,9.0,8.0
524922,2011-12-23,Stadium Australia,Sydney Thunder,Adelaide Strikers,Sydney Thunder,Sydney Thunder,Win,1,Adelaide Strikers,1,0,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Sydney Thunder,Sydney Thunder,Sydney Thunder,,Sydney Thunder,Sydney Thunder,Sydney Thunder,Sydney Thunder,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,,False,False,False,False,True,True,True,,46.0,61.0,98.0,155.0,47.0,85.0,109.0,,2.0,4.0,4.0,8.0,1.0,2.0,4.0,,36.0,60.0,90.0,120.0,36.0,60.0,90.0,,7.666666666666667,6.1,6.533333333333333,7.75,7.833333333333333,8.5,7.266666666666667,,False,False,False,False,True,True,True,,155.0,155.0,155.0,,109.0,71.0,47.0,,14.0,10.0,5.0,,84.0,60.0,30.0,,7.785714285714286,7.1,9.4,,8.0,6.0,6.0,2.0,9.0,8.0,6.0,
524923,2011-12-27,"Sydney Cricket Ground, Sydney",Sydney Sixers,Melbourne Stars,Sydney Sixers,Sydney Sixers,Win,1,Melbourne Stars,1,0,Sydney Sixers,Sydney Sixers,Sydney Sixers,Sydney Sixers,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Stars,Sydney Sixers,Sydney Sixers,Sydney Sixers,Sydney Sixers,True,True,True,True,False,False,False,False,53.0,79.0,112.0,166.0,43.0,75.0,114.0,164.0,1.0,2.0,5.0,9.0,2.0,2.0,5.0,8.0,36.0,60.0,90.0,120.0,36.0,60.0,90.0,120.0,8.833333333333334,7.9,7.466666666666667,8.3,7.166666666666667,7.5,7.6,8.2,False,False,False,False,True,True,True,True,166.0,166.0,166.0,166.0,124.0,92.0,53.0,3.0,14.0,10.0,5.0,0.0,84.0,60.0,30.0,0.0,8.857142857142858,9.2,10.6,inf,9.0,8.0,5.0,1.0,8.0,8.0,5.0,2.0
524924,2011-12-28,Adelaide Oval,Adelaide Strikers,Hobart Hurricanes,Adelaide Strikers,Hobart Hurricanes,Loss,0,Hobart Hurricanes,1,0,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,False,False,False,False,True,True,True,True,41.0,69.0,105.0,171.0,43.0,70.0,116.0,157.0,0.0,1.0,2.0,4.0,1.0,3.0,4.0,8.0,36.0,60.0,90.0,120.0,36.0,60.0,90.0,120.0,6.833333333333333,6.9,7.0,8.55,7.166666666666667,7.0,7.733333333333333,7.85,False,False,False,False,True,True,True,True,171.0,171.0,171.0,171.0,129.0,102.0,56.0,15.0,14.0,10.0,5.0,0.0,84.0,60.0,30.0,0.0,9.214285714285714,10.2,11.2,inf,10.0,9.0,8.0,6.0,9.0,7.0,6.0,2.0
